Make Nats?,School,NATS,UT-Austin,Rickards,Palatine,Boyceville,Seven Lakes,Dick Smith,Raymond Park,BirdSO Mini,Fairfax,Westlake,SONI,Camas,Rice,Carnegie-Mellon,Solon IP,Solon Sat,SOLVI,UC Davis,Duke,Ohio State,MIT,UChicago,North Pocono IP,North Pocono Sat,Cornell,High Desert,SOAPS,Princeton,Mentor,Yale,San Marino,Golden Gate,BirdSO Sat,UMSO,SOUP,Northwestern,Mt. Vernon,LA Tech,Mason,Louisville,Lexington
FALSE,Centerville H.S. OH,,,,,,,,,,,32.96486166,,,,,,22.02964804,,,,32.14941922,,,,,,,,,38.14560263,,,,,,,,,,,,
FALSE,Troy H.S. MI,,,,,,,,,,,,,,,,,41.63083094,,,,,,,,,,,,,,,,,,41.58901015,,,,,,,
FALSE,Great Neck South H.S. NY,30.58704179,,,,,,,,13.35682111,,,,,,,,,,,,,,,,,,,,,,,,,40.78610506,,32.90096119,,,,,,
FALSE,Lake Central H.S. IN,,,,8.961081973,,,,,,,,15.65812965,,,,,,,,,,,,,,,,,,,,,,,45.71044359,,,,,,,
FALSE,Beachwood H.S. OH,,,,,,,,,,,23.0009063,,,,,28.22635013,,,,,28.50581838,,,,,,,,,35.26668922,,,,,29.58518506,,,,,,,
FALSE,"Temple City H.S. Temple City, CA",,,,,,,,,12.52308324,,,30.98016307,,,,,,,,,,,,,,,,,,,,32.51813173,,,,,,,,36.63315053,,
TRUE,Chattahoochee H.S. GA,26.53425875,,21.85722876,,,,,,19.38978371,,,,,,,,31.65937442,,,,,,,,,,,,,,,,27.62904396,,,,31.68513122,,,,,
TRUE,"Brookwood H.S. Snellville, GA",,,,,17.88246872,,,,,,,,,,,,,,,,,,19.92149284,,,,,,,,,,,41.20658037,,,,,,,,
FALSE,"Westlake H.S. Westlake, OH",,,,,17.44706948,,,7.387893885,,,,,,,,20.42696391,,,,,,,,,,1.369261713,,21.35479956,,41.07987975,,,,,,,,,,,,
FALSE,"Canyon Crest Academy San Diego, CA",,,,,,,,,,,,,,,,,,,31.25457387,,,,,,,,,,,,,,40.82215145,,,,,,,,,
