Nats Rank,State,School,Highlands,UT-Austin,Rickards,Cypress Falls,Cornell,Palatine,BullSO,Boyceville,Seven Lakes,Dick Smith,Northview,Great Oak,Camas,Valley Forge,Marquette,Fairfax,Prestonwood,Long Island,Mira Loma,Pembroke Hill,SOAPS,Aggie,Carnegie-Mellon,MIT,North Pocono,Columbia,BirdSO IP,Solon,Harvard,Yale,High Desert Sat,Brown,Loyola,Golden Gate,BirdSO Sat,UMichigan,UMass,SOUP,Northwestern
,PA,"Athens Area H.S. Athens, PA",,,,,21.68804991,,,,,,,,,,,,,23.07943548,,,28.57172388,,,,34.55223369,,,,,,,,,,,,37.52290641,,
,CA,Mission San Jose H.S. CA,,,,,,,,,,,,,,,,,,,,,,40.27368124,,,,,,,,,,,,40.62872822,,,,,
,TX,William P. Clements H.S. TX,,26.44011224,,22.4988922,,,,,14.77683111,,,,,,,,,,,,,,,,,,,,,,,,,,40.11458925,,,,
,CA,"Palo Alto H.S. Palo Alto, CA",,,,,,,7.690637577,,,,,,,,,,,,26.05207512,,,,,,,,,,,,,,,33.65614119,38.92222354,,,,
,NY,"Chaminade H.S. Mineola, NY",,,,,20.10315395,,,10.46478317,,,,,,,,,,,,,,,,,24.64726004,,,,,,,39.40388152,,,,,,30.59295345,
,TX,Liberal Arts and Science Academy TX,,16.2708383,,8.971520876,,,,,19.24177288,,,,,,,,23.4452626,,,,,,,38.02153418,,,,,,,,,,33.5454302,14.32216194,,,,
,IL,University of Chicago Laboratory Schools H.S. IL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.46906719
23,MI,"Grand Haven H.S. Grand Haven, MI",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CA,"Temple City H.S. Temple City, CA",,,,,,,,,,,,26.1088262,,,,,,,,,,,,,,,18.39356578,,,,,,,41.28668333,,,,,
24,NC,"NCSSM Durham, NC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,NV,"Ed W. Clark H.S. Las Vegas, NV",,,,,,,,,,,,,,,,,,,,,,,,28.53079683,,,22.01654086,,,,,,,31.37787933,,,,25.66874519,
,NY,Townsend Harris H.S. NY,,,,,,,,,,,,,,,,,,20.85896501,,,,,,,,40.16754557,,,,,,,,,18.42448973,,,,
,IL,Naperville North H.S. IL,,,,,,36.48133008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.98872013
26,WA,"Tesla STEM H.S. Redmond, WA",,,,,,,,21.50358397,,,,,18.27772056,,,,,,,,,,,,,,,,,,,,,36.42075279,,,,,
,MA,Belmont H.S. MA,,,,,,,,,,,,,,,,,,,,,,,,27.19014265,,,,,39.72034968,,,,,,16.29543759,,,,
27,GA,Chattahoochee H.S. GA,,,10.0969579,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.72450426,,,9.578039334,,,,
28,VA,"Langley H.S. McLean, VA",,,,,,,,,,,,,,,,16.70727749,,,,,,,24.62007146,,,,,,,38.09588799,,,,,19.56495975,,,,
,NJ,"South Brunswick H.S. South Brunswick, NJ",,,,,,,,7.52228694,,,,,,,,,,,,,,,,,,27.88925653,,,,,,,,,,,,37.75956471,
,MI,Northville H.S. MI,,,,,,,,,,,14.73734248,,,,,,,,,,,,,,,,,,,,,,,,,24.27466906,,,
,WI,Madison West H.S. WI,,,,,,,,,,,,,,,36.18276105,,,,,,,,,,,,,,,,,,,,18.02592654,,,,
,PA,"Penncrest H.S. Media, PA",,,,,,,,,,5.347782876,,,,19.94787124,,,,,,,,,18.08583448,,28.88350785,,,,,,,,,,,,,29.22133955,
