Nats Rank,State,School,Highlands,UT-Austin,Rickards,Cypress Falls,Cornell,Palatine,BullSO,Boyceville,Seven Lakes,Dick Smith,Northview,Great Oak,Camas,Valley Forge,Marquette,Fairfax,Prestonwood,Long Island,Mira Loma,Pembroke Hill,SOAPS,Aggie,Carnegie-Mellon,MIT,North Pocono,Columbia,BirdSO IP,Solon,Harvard,Yale,High Desert Sat,Brown,Loyola,Golden Gate,BirdSO Sat,UMichigan,UMass,SOUP,Northwestern
49,UT,West H.S. UT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,IL,Belvidere North H.S. IL,,,,,,7.76410299,,,,,,,,,,,,,,,,,,,,,,,,,,,9.821152139,,,,,,17.69544466
,NY,"The Bronx H.S. of Science New York, NY",,,,,,,,7.698412993,,,,,,,,,,,,,,,,,,,,,,,,,,,17.66124016,,,,
,MI,West Michigan Aviation Academy MI,,,,,,,,,,,17.64897549,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,NE,"Lincoln Science Focus Program H.S. Lincoln, NE",,,,,,,,4.484249364,,,,,,,,,,,,2.36367228,,,,,,,,,,,,,,,,,,,
,MO,International Academy Central MO,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.59550966,,,,,,,,,,,
,IL,OPRF IL,,,,,,16.73849262,,,,,,,,,,,,,,,,,,,,,,,,,,,14.66711537,,,,,,
,CA,"Orange County School of the Arts Santa Ana, CA",,,,,,,,,,,,,,,,,,,,,,,,,,,12.65759318,,,,,,,,17.52616375,,,,
,CA,Foothill H.S. CA,,,,,,,,,,5.053948652,,,,,,,,,14.50466885,,,,,,,,,,,,,,,16.69036135,,,,,
,MI,Brighton H.S. MI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.44741838,,,
,CA,Davis Senior H.S. CA,,,,,,,,,,,,,,,,,,,,,,13.26084626,,,,,,,,,,,,17.43215518,,,,,
,PA,State College Area H.S. PA,,,,,,,,,,,,,,17.42920063,,,,,,,,,,,,,,,,,,,,,,,,,
,IL,Mundelein H.S. IL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.864608565,,,,,,17.3465204
,NY,Roslyn H.S. NY,,,,,,,,,,,,,,,,,,17.32354722,,,,,,,,,,,,,,,,,9.648614361,,,,
,CT,Ridgefield H.S. CT,,,,,,,,,,,,,,,,,,,,,,,,,,17.2611885,,,,13.3981301,,,,,,,,,
,MA,Boston University Academy MA,,,,,,,,,,,,,,,,,,,,,,,,17.2246392,,,,,10.80213476,,,,,,,,,,
,PA,"West Chester East H.S. West Chester, PA",,,,,,,,,,3.041281371,,,,10.41020128,,,,,,,11.93939186,,,,,,,,,,,,,,,,,16.18849589,
,OH,Olentangy Orange H.S. OH,,,,,,,,,,,11.4076875,,,,,,,,,,,,,,,,,16.93959926,,,,,,,,,,,
,MA,Newton North H.S. MA,,,,,,,,,,,,,,,,,,,,,,,,16.91003392,,,,,10.41845238,,,7.570858135,,,,,,,
,IL,"Lane Tech College Prep H.S. Chicago, IL",,,,,,,,7.42908076,,,,,,,,,,,,,,,,,,,,,,,,,16.88940557,,6.815006426,,,,
,IL,Naperville Central H.S. IL,,,,,,16.88749998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CA,Sheldon H.S. CA,,,3.787825089,,,,,,,,,,,,,,,,12.9007872,,,9.761125614,,,,,,,,,,,,15.3120282,,,,,
,CT,Jonathan Law H.S. CT,,,,,,,,,,,,,,,,,,,,,,,,16.78738635,,,,,,,,,,,,,,,
,CA,"Tokay H.S. Lodi, CA",,,,,,,,,,,,,,,,,,,,,,11.05070522,,,,,9.831472915,,,,,,,16.69036135,,,,,
,CA,"Sunny Hills H.S. Fullerton, CA",,,,,,,,,,,,16.06696997,,,,,,,,,,,,,,,13.83896854,,,,,,,,,,,,
,MI,International Academy Central MI,,,,,,,,,,,13.72698094,,,,,,,,,,,,,,,,,,,,,,,,,16.12162671,,,
,NY,General Douglas MacArthur H.S. NY,,,,,,,,,,,,,,15.16915044,,,,14.75180412,,,,,,,,,,,,,,,,,,,,,
51,TN,Collierville H.S. TN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MI,Stevenson H.S. MI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.54918936,,,
,NY,"West Babylon Senior H.S. West Babylon, NY",,,,,,,,4.204908747,,9.157486607,,,,,,,,16.33476027,,,,,,,,,,,,,,,,,11.47206964,,,,
,MA,Sharon H.S. MA,,,,,,,,,,,,,,,,,,,,,,,,16.50310797,,,,,,,,10.02688057,,,,,,,
52,MT,Hamilton H.S. MT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PA,Northwestern Lehigh H.S. PA,,,,,11.69310968,,,,,3.927119494,,,,13.45411978,,,,,,,,,,,12.0426352,,,,,,,,,,,,,,
,OH,Chardon H.S. OH,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.15414643,,,,,,,,,,,
,NJ,"Edison Academy Magnet H.S. Edison, NJ",,,8.493014067,,,,,,,,,,,,,,,,,,,,,,,16.12787815,,,,,,,,,,,,,
,IN,John Adams H.S. IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.12162671,,,
,NY,Hicksville H.S. NY,,,,,,,,,,,,,,,,,,16.07780899,,,,,,,,,,,,,,,,,,,,,
,TX,Dulles H.S. TX,,16.04641295,,,,,,,9.351770737,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,DC,"BASIS Independent Washington, D.C. Washington, DC",,,,,,,,,,,,,,,,6.783405899,,,,,,,,,,,,,,,,,,,,,,,
,MI,Salem H.S. MI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.92797354,,,
54,WY,"Kelly Walsh H.S. Casper, WY",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PA,Haverford H.S. PA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.8630129,
,CA,"Gretchen Whitney H.S. Cerritos, CA",,,,,,,,,,,,,,,,,,,,,,,,,,,15.82888559,,,,,,,,,,,,
,CA,Albany H.S. CA,,,,,,,,,,,,,,,,,,,13.15374381,,,11.76828348,,,,,,,,,,,,,11.35834404,,,,
,PA,Allentown Central Catholic H.S. PA,,,,,,,,,,3.64364784,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.63143607,
,CA,"Del Norte H.S. San Diego, CA",,,,,,,,,,,,,,,,,,,,,,,,,,,15.55772695,,,,,,,,11.97411318,,,,
,CA,"Arnold O. Beckman H.S. Irvine, CA",,,,,,,,,,,,,,,,,,,,,,,,,,,12.00902229,,,,,,,,15.457308,,,,
,NJ,"Randolph H.S. Randolph, NJ",,,,,,,,,,,,,,,,,,,,,14.79912644,,,,,,,,,12.54745517,,,,,,,,,
,OH,Northmont H.S. OH,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.84335462,,,,,,,,13.63500049,,,
,NY,Francis Lewis H.S. NY,,,,,,,,,,,,,,,,,,,,,,,,,,15.27904245,,,,,,,,,,,,,
,PA,Central H.S. PA,,,4.926461332,,,,,,,6.233710763,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.265323,
,IL,Crystal Lake Central H.S. IL,,,,,,11.66206453,,,,,,,,,,,,,,,,,,,,,,,,,,,15.21775792,,,,,,
55,WV,"Cabell Midland H.S. Ona, WV",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,OH,Hawken School OH,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.14743875,,,,,,,,,,,
,NH,Nashua H.S. North NH,,,,,,,,,,,,,,,,,,,,,,,,15.12784897,,,,,,,,,,,,,,,
56,SC,Clinton H.S. SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MA,Cambridge Rindge and Latin School MA,,,,,,,,,,,,,,,,,,,,,,,,15.01742672,,,,,8.130391406,,,,,,,,,,
,CA,"North Hollywood H.S. North Hollywood, CA",,,6.483732409,,,,,,,,,,,,,,,,,,,,,,,,13.99895662,,,,,,,,12.77516884,,,,
57,NM,La Cueva H.S. NM,,,4.274334734,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MA,Wilbraham and Moson Academy MA,,,,,,,,,,,,,,,,,,,,,,,,14.8488269,,,,,,,,,,,,,,,
,MA,Noble and Greenough School MA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.72260065,,,,,,,,,,
,OH,Saint Ignatius H.S. OH,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.72075034,,,,,,,,,,,
,NY,"Plattsburgh H.S. Plattsburgh, NY",,,,,14.55938726,,,7.445360704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,AR,Little Rock Central H.S. AR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PA,JR Masterman School PA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.40014139,
,VA,"W.T. Woodson H.S. Fairfax, VA",,,,,,,,,,,,,,,,14.39669656,,,,,,,,,,,,,,,,,,,,,,,
,NY,Vestal H.S. NY,,,,,14.32005487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MI,Grosse Pointe South H.S. MI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.31583047,,,
,IL,Beacon Academy IL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.634936766,,,,,,14.28773722
,MA,Brookline H.S. MA,,,,,,,,,,,,,,,,,,,,,,,,14.26539842,,,,,,,,,,,,,,,
,MA,"Boston Latin School Boston, MA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.580787863,,,9.93814711,,,,,12.77095411,,
59,VT,Burr and Burton Academy VT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MA,The Winsor School MA,,,,,,,,,,,,,,,,,,,,,,,,14.19976008,,,,,,,,,,,,,,,
,CA,Laguna Creek H.S. CA,,,,,,,,,,,,,,,,,,,12.08722404,,,11.59263746,,,,,,,,,,,,,8.413202059,,,,
,NY,Loyola H.S. NY,,,,,,,,,,,,,,,,,,,,,,,,,,14.12973395,,,,,,,,,,,,,
60,SD,"Brookings H.S. Brookings, SD",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PA,"Pocono Mountain East H.S. Swiftwater, PA",,,2.394506169,,,,,,,4.298218013,,,,,,,,,,,13.18108862,,,,11.84964425,,,,,,,,,,,,,,
,RI,Pilgrim H.S. RI,,,,,,,,,,,,,,,,,,,,,,,,13.97470728,,,,,,,,8.227184054,,,,,,,
,MA,Weston H.S. MA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.96759549,,,,,,,,,,
,OH,St. Edward H.S. OH,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.93564365,,,,,,,,,,,
,CT,E.O. Smith H.S. CT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.06854467,,12.73736057,,,,,,,
,NJ,Parsippany H.S. NJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.82891807,
,CA,Saratoga H.S. CA,,,,,,,,,,,,,,,,,,,12.25280245,,,,,,,,,,,,,,,12.52802307,,,,,
,CA,Leigh H.S. CA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.54290941,,,,,
,MD,"Reservoir H.S. Fulton, MD",,,,,,,,,,8.959272611,,,,,,8.903220243,,,,,,,,,,,,,,,,,,,12.59956515,,,,
,NH,Nashua H.S. South NH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.44922902,,,,,,,
,WI,Boyceville H.S. WI,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.43410378,,,,,,,,,,,
,MI,Macomb Dakota H.S. MI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.30995029,,,
,CA,"Valencia H.S. Placentia, CA",,,,,,,,,,,,,,,,,,,,,,,,,,,11.98920542,,,,,,,,11.86560989,,,,
,MD,"Walter Johnson H.S. Bethesda, MD",,,,,,,,,,,,,,,,13.26754389,,,,,,,,,,,,,,,,,,,,,,,
,VA,"McLean H.S. McLean, VA",,,,,,,,,,,,,,,,13.26754389,,,,,,,,,,,,,,,,,,,,,,,
,MI,Detroit Country Day Upper School MI,,,,,,,,,,,13.19662031,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MA,South High Community School MA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.667262631,,,11.19279691,,,,,12.21383195,,
,IL,Grayslake Central H.S. IL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.03743588,,,,,,
,TX,Cinco Ranch H.S. TX,4.205265604,12.99849093,4.692543024,,,,,,8.332107261,,,,,,,,,,,,,,,,,,,,,,,,,,6.957255137,,,,
,PA,"Manheim Central H.S. Manheim, PA",,,,,,,,,,6.060298604,,,,12.97361551,,,,,,,,,9.784900195,,,,,,,,,,,,,,,,
,PA,"Shady Side Academy Senior School Pittsburgh, PA",,,,,,,,,,,,,,,,,,,,,12.70670497,,10.28601368,,,,,,,,,,,,,,,,
,NY,Kellenberg Memorial H.S. NY,,,,,10.47458923,,,,,,,,,,,,,10.75883459,,,,,,,7.985073446,,,,,,,,,,,,,,
,PA,Philadelphia H.S. for Girls PA,,,,,,,,,,4.904246382,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.79056927,
,NJ,Kingsway Regional H.S. NJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.79056927,
,CA,"San Marino H.S. San Marino, CA",,,,,,,,,,,,,,,,,,,,,,,,,,,12.74641839,,,,,,,,,,,,
,CA,Sequoia H.S. CA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.73134929,,,,,
,MI,Forest Hills Central H.S. MI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.65874747,,,
,NY,John Jay H.S. NY,,,,,,,,12.59913325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,WI,"Slinger H.S. Slinger, WI",,,,,,,,5.264823762,,,,,,,12.57781693,,,,,,,,,,,,,,,,,,,,,,,,
,NY,Al-Noor School NY,,,,,,,,,,,,,,,,,,,,,,,,,,12.57212548,,,,,,,,,,,,,
,MI,International Academy West MI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.5538821,,,
,IL,Lisle H.S. IL,,,,,,7.817427873,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.54178155
,IL,Hinsdale Central H.S. IL,,,,,,10.65746721,,,,,,,,,,,,,,,,,,,,,,,,,,,11.73369229,,,,,,
,NY,Goshen H.S. NY,,,,,12.26953058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TX,Stephen F. Austin H.S. TX,,,,,,,,,12.15730196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CA,"Walnut H.S. Walnut, CA",,,,,,,,,,,,,,,,,,,,,,,,,,,12.06886791,,,,,,,,,,,,
,MA,Dover Sherborn H.S. MA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.01228357,,
,MA,Longmeadow H.S. MA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.027691725,,,9.463572669,,,,,9.890548701,,
,IL,Glenbrook South H.S. IL,,,,,,9.695208674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.64085963
,CT,Hopkins School CT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.93191963,,,,,,,,,
,CA,"Martin Luther King H.S. Riverside, CA",,,,,,,,,,,,,,,,,,,,,,,,,,,11.93014529,,,,8.736747446,,,,,,,,
,OH,Medina H.S. OH,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.87696902,,,,,,,,,,,
,CA,"El Dorado H.S. Placentia, CA",,,,,,,,,,,,11.56110385,,,,,,,,,,,,,,,9.57240907,,,,,,,,,,,,
,PA,Lehighton Area H.S. PA,,,,,,,,,,,,,,11.63906147,,,,,,,,,,,9.336083347,,,,,,,,,,,,,,
,PA,Red Land H.S. PA,,,,,,,,,,,,,,11.77809462,,,,,,,,,,,,,,,,,,,,,,,,,
,CA,Saint Francis H.S. CA,,,,,,,,,,,,,,,,,,,,,,9.43914404,,,,,,,,,,,,11.49696819,,,,,
,MA,Wilbraham and Monson Academy MA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.19279691,,,,,9.75796762,,
,MI,Frankenmuth H.S. MI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.6957336,,,
,IL,Niles West H.S. IL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.913531925,,,,,,11.68503746
,CA,"Silver Creek H.S. San Jose, CA",,,3.783430861,,,,,5.572826027,,,,,,,,,,,11.64149127,,,7.646901501,,,,,,,,,,,,,,,,,
,OH,Thomas Worthington H.S. OH,,,,,,,,,,,7.258141172,,,,,,,,,,,,,,,,,11.62595411,,,,,,,,,,,
,VA,"Alexandria City H.S. Alexandria, VA",,,,,,,,,,,,,,11.52247654,,,,,,,,,,,,,,,,,,,,,,,,,
,PA,Central York H.S. PA,,,,,,,,,,4.07801374,,,,11.4841322,,,,,,,,,,,,,,,,,,,,,6.383136242,,,,
,IL,Whitney M. Young Magnet H.S. IL,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.682693568,,,,,,,11.45772955,,,,
,CA,Ukiah H.S. CA,,,,,,,,,,,,8.31050171,,,,,,,11.34614688,,,,,,,,,,,,,,,,,,,,
,OH,Archbishop Hoban H.S. OH,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.32365411,,,,,,,,,,,
,MI,Comstock H.S. MI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.27314599,,,
,CT,Guilford H.S. CT,,,3.676795267,,,,,,,4.852501696,,,,,,,,,,,,,,,,,,,,11.25252207,,,,,,,,,
,TN,Farragut H.S. TN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.2047552,,,,,,,,
,OH,Granville H.S. OH,,,3.619664153,,,,,,,,9.487766238,,,,,,,,,,,,,,,,,9.804627337,,,,,,,5.927050529,,,,
,WA,"Bothell H.S. Bothell, WA",,,,,,,,11.13956153,,,,,,,,,,,,,,,,,,,,,,,3.974432205,,,,,,,,
,CA,Clayton Valley Charter H.S. CA,2.607916654,,3.411419876,,,,2.243980553,,,,,,,,,,,,8.333427757,,,6.979392769,,,,,,,,,,,,9.920049399,,,,,
,CO,"Homeschool Science Colorado El Paso, CO",,,1.927492554,,,,,6.696911172,,,,,,,,,,,,,,,,,,,,,,,7.540842853,,,,10.73952389,,,,
,MI,Haslett H.S. MI,,,,,,,,,,,8.451983897,,,,,,,,,,,,,,,,,,,,,,,,,11.05003164,,,
,PA,Stroudsburg H.S. PA,,,,,,,,,,,,,,,,,,,,,,,,,11.00324109,,,,,,,,,,,,,,
,PA,"Warwick H.S. Lititz, PA",,,,,,,,,,,,,,,,,,,,,10.95988521,,,,,,,,,,2.475957142,,,,,,,,
,MI,Plymouth H.S. MI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.92485106,,,
,IL,Libertyville H.S. IL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.099598105,,,,,,10.29768352
,NY,Saugerties H.S. NY,,,,,10.73269,,,,,4.939360318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,OH,Cincinnati Country Day School OH,,,,,,,,,,,10.67373702,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MI,Nouvel Catholic Central H.S. MI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.67206275,,,
,TX,Texas Academy of Mathematics and Science TX,,,,8.299303174,,,,,10.65580251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,VA,"Oakton H.S. Oakton, VA",,,,,,,,,,,,,,,,10.57257404,,,,,,,,,,,,,,,,,,,,,,,
,MD,"Winston Churchill H.S. Potomac, MD",,,,,,,,,,,,,,,,5.795672278,,,,,,,10.57094481,,,,,,,,4.802037943,,,,,,,,
,MA,Reading Memorial H.S. MA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.777316845,,,9.080948437,,,,,,,
,MA,Lexington Christian Academy MA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.48911217,,
,IA,"Mount Vernon H.S. Mount Vernon, IA",,,,,,,,6.9196869,,,,,,,10.48151411,,,,,,,,,,,,,,,,,,,,,,,,
,MD,"Atholton H.S. Columbia, MD",,,,,,,,,,,,,,,,6.783405899,,,,,,,,,,,,,,,,,,,10.43390284,,,,
,OH,Canal Winchester H.S. OH,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.36878248,,,,,,,,,,,
,PA,"State College Area H.S. State College Area High School, PA",,,,,,,,,,,,,,,,,,,,,10.36249105,,,,,,,,,,,,,,,,,,
,WI,Beloit Turner H.S. WI,,,,,,,,,,,,,,,10.35820218,,,,,,,,,,,,,,,,,,,,,,,,
,NY,Chittenango H.S. NY,,,,,10.32968385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,WI,Belleville H.S. WI,,,,,,,,,,,,,,,10.08145632,,,,,,,,,,,,,,,,,,,,,8.274594679,,,
,FL,Florida Atlantic University H.S. FL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.30582046,,,,,,,,,,
,NY,Northern Academy of the Arts NY,,,,,,,,,,,,,,,,,,,,,,,,,10.29829806,,,,,,,,,,,,,,
,OH,Brecksville-Broadview Heights H.S. OH,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.22674436,,,,,,,,,,,
,PA,"Mt. Lebanon H.S. Pittsburgh, PA",,,,,,,2.667924762,,,8.147999894,,,,,,,,,,,,,10.04239757,,,,,,,,,,,,,,,,
,CA,Temecula Valley H.S. CA,,,,,,,,,,,,10.20540438,,,,,,,,,,,,,,,,,,,,,,,,,,,
,IL,Trinity H.S. IL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.19538865
,NY,Leon M. Goldstein H.S. for the Sciences NY,,,,,,,,,,,,,,,,,,10.1917735,,,,,,,,,,,,,,,,,,,,,
,OH,Stow-Munroe Falls H.S. OH,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.10805874,,,,,,,,,,,
,IL,Cary Grove H.S. IL,,,,,,10.01952023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PA,Cedar Cliff H.S. PA,,,,,,,,,,,,,,10.0173635,,,,,,,,,,,,,,,,,,,,,,,,,
,CA,"Harvard-Westlake Upper School Los Angeles, CA",,,,,,,,,,,,,,,,,,,,,,,,,,,9.993753073,,,,,,,,,,,,
,GA,"Lambert H.S. Suwanee, GA",,,8.673716494,,,,,9.190891617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CT,"Staples H.S. Westport, CT",,,,,,,,5.088716327,,,,,,,,,,9.950799722,,,,,,,,,,,,,,,,,,,,,
,IL,Barrington H.S. IL,,,,,,9.897543464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CA,"Santa Teresa H.S. San Jose, CA",,,,,,,,4.420077538,,,,,,,,,,,,,,,,,,,,,,,2.510432494,,,9.872033671,,,,,
,CA,Cosumnes Oaks H.S. CA,,,,,,,,,,,,,,,,,,,9.865307859,,,,,,,,,,,,,,,,,,,,
,TX,Cypress Falls H.S. TX,,6.499245467,,4.744412193,,,,,6.703274263,,,,,,,,8.356727264,,,,,,,,,,,,,,,,,,,,,,
,TX,Brazoswood H.S. TX,,6.517450636,,6.873169931,,,,,8.82708393,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MA,Bedford H.S. MA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.678054745,,,,,,,,,,
,ME,Waynflete Upper School ME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.667236357,,,,,,,
,CT,Sacred Heart Greenwich H.S. CT,,,,,,,,,,,,,,,,,,,,,,,,,,9.662087361,,,,,,,,,,,,,
,MI,Benzie Central H.S. MI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.626161867,,,
,CA,"Rancho Bernardo H.S. San Diego, CA",,,,,,,,7.852618493,,,,,,,,,,,,,,,,,,,,,,,,,,,9.166183643,,,,
,MI,"Birmingham Groves H.S. Beverly Hills, MI",,,,,,,,,,,9.487766238,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CT,Joseph A. Foran H.S. CT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.466942224,,,,,,,,,
,CT,The Taft School CT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.453823174,,
,CA,"Stratford Preparatory Academy San Jose, CA",,,,,,,,3.80182723,,,,,,,,,,,9.41531136,,,6.55844025,,,,,,,,,,,,,,,,,
,OH,Springfield H.S. OH,,,,,,,,,,,9.129737323,,,,,,,,,,,,,,,,,,,,,,,,,7.560962493,,,
,IL,John Hersey H.S. IL,,,,,,9.329651626,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MI,Dansville H.S. MI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.297134424,,,
,MA,Franklin H.S. MA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.304891896,,,9.192447122,,,,,,,
,NY,SAIL NY,,,,,,,,,,,,,,,,,,,,,,,,,,9.255999632,,,,,,,,,,,,,
,IL,Maine South H.S. IL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.218584943
,OH,Fairview H.S. OH,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.208575102,,,,,,,,,,,
,CA,"Los Alamitos H.S. Los Alamitos, CA",,,,,,,,7.270113269,,,,,,,,,,,,,,,,,,,7.984020312,,,,5.524350057,,,,,,,,
,CA,"Homestead H.S. Cupertino, CA",,,5.399532122,,,,,3.874077842,,,,,,,,,,,,,,9.046500777,,,,,,,,,,,,,5.696820164,,,,
,CA,La Mirada H.S. CA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.088957916,,,,,
,PA,Wyoming Area H.S. PA,,,,,,,,,,,,,,,,,,,,,,,,,9.06149266,,,,,,,,,,,,,,
,NY,Riverdale Kingsbridge Academy NY,,,,,,,,,,,,,,,,,,9.033617424,,,,,,,,,,,,,,,,,,,,,
,OH,Perry H.S. OH,,,,,,,,,,,8.974517678,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MI,Skyline H.S. MI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.92180856,,,
,IL,Naper Valley Homeschool IL,,,,,,8.850835913,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CA,Pacific Academy Irvine CA,,,,,,,,,,,,8.751561856,,,,,,,,,,,,,,,,,,,4.63374222,,,,,,,,
,IL,Evanston H.S. IL,,,,,,8.570914897,,,,,,,,,,,,,,,,,,,,,,,,,,,6.934374917,,,,,,
,NC,"Durham Academy Upper School Durham, NC",,,,,,,,,,,,,,,,,,,,,,,8.712582365,,,,,,,,,,,,,,,,
,NJ,John P. Stevens H.S. NJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.708963081,,,,
,NY,Riverhead H.S. NY,,,,,,,,,,,,,,,,,,8.693347509,,,,,,,,,,,,,,,,,,,,,
,TX,Cypress Ranch H.S. TX,,,,8.596591646,,,,,6.840425654,,,,,,,,,,,,,,,,,,,,,,,,,,3.495874769,,,,
,RI,Classical H.S. RI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.627482382,,,,,,,
