Make Nats?,School,Nats,UT-Austin,Rickards,Cornell,Palatine,Boyceville,Seven Lakes,Dick Smith,Camas,Fairfax,SOAPS,Carnegie-Mellon,MIT,North Pocono,BirdSO Mini,Solon,Yale,High Desert,Golden Gate,BirdSO Sat,SOUP,Northwestern
TRUE,Chattahoochee H.S. GA,,,10.0969579,,,,,,,,,,,,,,,,,9.578039334,,
TRUE,"Langley H.S. McLean, VA",,,,,,,,,,16.70727749,,24.62007146,,,,,38.09588799,,,19.56495975,,
FALSE,"South Brunswick H.S. South Brunswick, NJ",,,,,,7.52228694,,,,,,,,,,,,,,,37.75956471,
FALSE,Northville H.S. MI,37.74089744,,,,,,,,,,,,,,,,,,,,,
FALSE,Madison West H.S. WI,,,,,,,,,,,,,,,,,,,,18.02592654,,
FALSE,"Penncrest H.S. Media, PA",,,,,,,,5.347782876,,,,18.08583448,,28.88350785,,,,,,,29.22133955,
FALSE,Lake Central H.S. IN,,,,,16.83753696,,,,,,,,,,,,,,,15.17580073,,33.83524584
FALSE,"Milpitas H.S. Milpitas, CA",,,,,,11.36309789,,,,,,,,,17.46504443,,,,30.53236761,20.73797204,,
FALSE,East Brunswick H.S. NJ,,,12.83983229,,,,,,,,,,,,,,,,,,35.27187574,
FALSE,Pioneer H.S. MI,,,,,,,,,,,,,,,,29.11346167,,,,,,
TRUE,"Iolani School Honolulu, HI",26.87340898,,,,,,,,,,,,34.67506956,,,,,,,9.469197978,,
FALSE,"Bayard Rustin H.S. West Chester, PA",,,,,,,,,,,22.36610059,,,22.96328575,,,,,,,24.94267419,
FALSE,"John Jay H.S. Cross River, NY",,,,,,,,,,,,,,,,,,,,,33.9921705,
FALSE,"Staten Island Technical H.S. New York, NY",,,,,,9.633930816,,,,,,,,,,,,,,29.28493177,,
FALSE,"North Pocono H.S. Covington Township, PA",,,,19.57610497,,,,,,,,17.18968953,,,,,,,,,26.72111799,
FALSE,Monta Vista H.S. CA,,,,,,,,,,,,,,,,,,,24.33845055,26.26413651,,
FALSE,American H.S. CA,,,,,,,,,,,,,,,,,,,32.89616381,,,
FALSE,Winchester H.S. MA,,,,,,,,,,,,,23.92311001,,,,,,,9.268133107,,
FALSE,"Fairfax H.S. Fairfax, VA",,,,17.71803399,,,,,,,,,25.53998227,,,,,,,,29.22133955,
FALSE,"Portola H.S. Irvine, CA",,,,,,,,,,,,,,,32.00642504,,,,8.365718443,,,
FALSE,New Albany H.S. OH,,,,,,,,,,,,,,,,32.06052988,,,,17.59344269,,
FALSE,Beachwood H.S. OH,,,,,,,,,,,,,,,,28.55664683,,,,,,
FALSE,"Fulton Science Academy Roswell, GA",,,10.38636115,,,10.87801366,,,,,,,,,,,,,,30.81070132,,
FALSE,"Walton H.S. Marietta, GA",30.7743877,,10.55442525,,,21.36834131,,,,,,,,,,,,,,,,
FALSE,"Westlake H.S. Westlake, OH",,,,,,,,,,,,15.08344299,,,,25.06410729,,,,,,
FALSE,"Ithaca H.S. Ithaca, NY",,,,17.0811112,,,,,,,20.9445264,,,21.24763796,,,,,,,,
TRUE,Boca Raton Community H.S. FL,,,,,,,,,,,,,29.6738576,,,,,,,23.8082692,,
FALSE,Hillsborough H.S. NJ,,,,,,,,,,,,,29.81720957,,,,,,,12.49650122,,
FALSE,Northridge H.S. IN,,,,,,,,,,,,,,,,,,,,,29.68425186,
TRUE,Orlando Science H.S. FL,,,11.85933601,,,,,,,,,,29.57905295,,,,17.18455817,,,,,
FALSE,Mira Loma H.S. CA,,,,,,,,,,,,,,,,,,,18.67730912,,,
FALSE,F.W. Buchholz H.S. FL,28.90927329,,19.64649037,,,,,,,,,,,,,,,,,,,
FALSE,Saline H.S. MI,,,,,,,,,,,,,,,,23.38195244,,,,,,
TRUE,Barrington H.S. RI,18.80844287,,,,,,,,,,,,24.75466196,,,,,,,,,
FALSE,"East Lansing H.S. East Lansing, MI",,,,,,9.141433904,,,,,,,,,,,,,,,,
FALSE,Mount Academy NY,,,,,,,,,,,,,,21.37045668,,,,,,,,
FALSE,"Athens H.S. Troy, MI",,,,,,,,,,,,,,,,,,,,,,
FALSE,"Diamond Bar H.S. Diamond Bar, CA",,,,,,23.64895314,,,,,,,,,16.43768888,,,,,22.49370219,,
FALSE,"Lake Braddock Secondary Burke, VA",27.38773259,,,,,4.163684152,,,,8.127864726,,,,,,,,,,7.172287671,,
FALSE,American Heritage Plantation FL,,,,26.94237128,,,,,,,,,,,,,,,,,,
FALSE,Mountain House H.S. CA,,,,,,,,,,,,,,,,,,,21.06985699,14.28867287,,
FALSE,Columbia H.S. NY,,,,,,,,,,,,,,,,,,,,,26.48506571,
FALSE,Northview H.S. OH,,,,,,,,,,,,,,,,,,,,,,
FALSE,Neuqua Valley H.S. IL,,,,,24.01302739,,,,,,,,,,,,,,,,,
FALSE,Conestoga H.S. PA,,,,,,,,,,,,,,,,,,,,,,
FALSE,Milton Academy MA,,,,,,,,,,,,,,,,,,,,,,
FALSE,Archimedean Upper Conservatory FL,,,12.21467192,,,,,,,,,,23.83074279,,,,,,,9.401213993,,
FALSE,"Canyon Crest Academy San Diego, CA",,,,,,,,,,,,,,,18.72540846,,,,25.30474139,,,
FALSE,"Great Oak H.S. Temecula, CA",,,,,,,,,,,,,,,19.7968896,,,,,,,
FALSE,"BASIS Independent Silicon Valley San Jose, CA",,,16.06560296,,,,,13.93664628,,,,,,,,,,,20.11402521,,,
FALSE,Collegiate School NY,,,,,,,,,,,,,24.78780073,,,,,,,,,
FALSE,Mayfield H.S. OH,,,,,,,,,,,,,,,,24.30635521,,,,,,
TRUE,"Eagan H.S. Eagan, MN",,,,,,6.952727697,,,,,,,,,,,,,,7.398049752,,24.24415253
TRUE,"Pembroke Hill School Kansas City, MO",24.22018101,,,,,,,,,,,,,,,,,,,11.28145679,,
FALSE,Forest Hills H.S. NY,,,,,,,,,,,,,,,,,,,,,,
FALSE,"State College Area H.S. State College, PA",,,,,,,,,,,23.53765825,12.03820529,,,,,,,,,,
FALSE,James S. Rickards H.S. FL,23.52343608,,,,,,,,,,,,,,,,,,,,,
FALSE,Bronx H.S. of Science NY,,,,,,,,,,,,,23.2911788,,,,,,,,,
FALSE,Kenston H.S. OH,,,,,,,,,,,,,,,,23.2778012,,,,,,
FALSE,Uxbridge H.S. MA,,,,,,,,,,,,,,,,,,,,,,
TRUE,Fossil Ridge H.S. CO,23.1118551,,,,,,,,,,,,,,,,,,,,,
FALSE,Garnet Valley H.S. PA,,,,,,,,,,,,,,,,,,,,,23.06238029,
FALSE,St. Ignatius H.S. OH,,,,,,,,,,,,,,,,,,,,,,22.97766695
TRUE,Lebanon H.S. NH,16.30779519,,,,,,,,,,,,,,,,,,,,,
FALSE,Okemos H.S. MI,,,,,,,,,,,,,,,,,,,,,,
FALSE,"Arcadia H.S. Arcadia, CA",,,15.75515653,,,,,,,,,,,,22.84735372,,,,,,,
FALSE,"Obra D. Tompkins H.S. Katy, TX",,10.67307283,,,,,14.07687595,,,,,18.52481105,,,,,,,,,,
TRUE,"Blue Valley North H.S. Overland Park, KS",22.27251405,,,,,,,,,,,,,,,,,,,10.48762431,,
FALSE,"Brooklyn Technical H.S. New York, NY",,,14.17964088,,,15.44348304,,,,,,,,,,,,,,20.71453931,,
FALSE,Menomonie H.S. WI,,,,,,,,,,,,,,,,,,,,,,
FALSE,Canton H.S. MI,,,,,,,,,,,,,,,,,,,,,,
FALSE,"Dublin H.S. Dublin, CA",,,,,,10.26455066,,,,,,,,,,,,,18.4742949,13.03866806,,
FALSE,Hunter College H.S. NY,,,,,,,,,,,,,,,,,,,,,,
FALSE,Division Avenue H.S. NY,,,,,,,,8.052887055,,,,,,,,,,,,9.386772804,,
FALSE,Novi H.S. MI,,,,,,,,,,,,,,,,,,,,,,
FALSE,Westborough H.S. MA,,,,,,,,,,,,,18.89437464,,,,,,,,,
TRUE,South Windsor H.S. CT,18.87044872,,,,,,,,,,,,,,,,19.28023599,,,,,
TRUE,Charter School of Wilmington DE,18.0190014,,,,,,,,,,,,,,,,,,,,19.82876612,
FALSE,"Northwood H.S. Irvine, CA",,,8.862275548,,,10.03218386,,,,,,,,,20.99843492,,,1.539783906,,,,
FALSE,Wayzata H.S. MN,20.96716525,,,,,,,,,,,,,,,,,,,,,
TRUE,"Auburn H.S. Auburn, AL",20.7894774,,,,,,,,,,,,,,,,,,,,,
FALSE,"Canyon H.S. San Diego, CA",,,,,,,,,,,,,,,14.27398523,,,,,,,
FALSE,Half Hollow Hills H.S. East NY,,,,,,,,,,,,,,,,,,,,,,
FALSE,Wellesley H.S. MA,,,,,,,,,,,,,20.64268355,,,,,,,9.43994196,,
FALSE,Mentor H.S. OH,,,,,,,,,,,,,,,,20.61485748,,,,,,
FALSE,Hershey H.S. PA,,,,,,,,,,,,,,,,,,,,,,
FALSE,Fayetteville-Manlius Senior H.S. NY,,,,13.97545462,,,,,,,,,,18.67216669,,,,,,14.15626817,,
FALSE,"River Hill H.S. Clarksville, MD",,,,,,,,,,15.64496505,,,,,,,,,,,,
FALSE,Phillips Exeter Academy NH,,,,,,,,,,,,,14.76593871,,,,,,,4.985685963,,
FALSE,North Penn H.S. PA,,,,,,,,,,,,,,12.61805121,,,,,,,19.44299246,
FALSE,Hudson H.S. OH,,,,,,,,,,,,,,,,20.25529601,,,,,,
FALSE,"Davidson Academy Reno, NV",,,8.032801482,,,,,,,,,,,,,,,1.753529328,20.03499171,,,
FALSE,Amador Valley H.S. CA,,,,,,,,,,,,,,,,,,,,18.84107635,,
FALSE,Eisenhower H.S. MI,,,,,,,,,,,,,,,,,,,,,,
FALSE,Waubonsie Valley H.S. IL,,,,,18.24066504,,,,,,,,,,,,,,,,,
FALSE,"Governor Livingston H.S. Berkeley Heights, NJ",,,,,,9.463972891,,4.992984254,,,,,,,,,,,,,,
TRUE,Catalina Foothills H.S. AZ,19.42546192,,,,,,,,,,,,,,,,,,,,,
TRUE,St. Mary's Academy OR,19.35976137,,,,,,,,,,,,,,,,,,,,,
FALSE,Princeton H.S. NJ,,,,,,,,,,,,,,,,,,,,,,
FALSE,Pleasant Grove H.S. CA,,,,,,,,,,,,,,,,,,,17.46200476,,,
FALSE,Whiting H.S. IN,,,,,,,,,,,,,,,,,,,,,,19.06506112
FALSE,"Camas H.S. Camas, WA",,,,,,,,,14.09995586,,,,,,9.911948818,,17.66457376,,,,,
TRUE,Century H.S. ND,18.89120829,,,,,,,,,,,,,,,,,,,,,
FALSE,Bedford H.S. NH,,,,,,,,,,,,,18.85589322,,,,,,,,,
FALSE,"Irvington H.S. Fremont, CA",,,,,,8.61597532,,,,,,,,,,,,,18.01733354,,,
FALSE,Sylvania Southview H.S. OH,,,,,,,,,,,,,,,,,,,,,,
FALSE,Newton South H.S. MA,,,,,,,,,,,,,,,,,,,,,,
FALSE,Shipley School PA,,,,,,,,4.593988842,,,,,,,,,,,,,18.43855743,
TRUE,Ames H.S. IA,18.42500894,,,,,,,,,,,,,,,,,,,7.280527119,,
FALSE,Arlington H.S. MA,,,,,,,,,,,,,,,,,,,,,,
FALSE,Lake Forest Academy IL,,,,,,,,,,,,,,,,,,,,,,16.73373571
TRUE,Baton Rouge Magnet H.S. LA,18.22941437,,,,,,,,,,,,,,,,,,,,,
FALSE,"Holt H.S. Holt, MI",,,,,,8.786809313,,,,,,,,,,,,,,,,
FALSE,"Scarsdale H.S. Scarsdale, NY",,,,,,9.867084998,,13.61573667,,,,17.11260572,,,,,,,,,,
TRUE,Northwest Rankin H.S. MS,18.07590351,,,,,,,,,,,,,,,,,,,,,
FALSE,Cherry Hill H.S. East NJ,,,,,,,,,,,,,,,,,,,,,17.97427721,
FALSE,Vernon Hills H.S. IL,,,,,14.33523298,,,5.821637055,,,,,,,,,,,,8.631058044,,
FALSE,"South Forsyth H.S. Cumming, GA",,,,,,12.96781018,,,,,,,,,,,,,,17.67827125,,
FALSE,St. Joseph's Collegiate Institute NY,,,,,,,,,,,,,,,,,,,,,,
TRUE,"Casady School Oklahoma City, OK",17.77650966,,,,,,,,,,,,,,,,,,,,,
TRUE,Falmouth H.S. ME,13.5747892,,,,,,,,,,,,15.69193826,,,,,,,,,
FALSE,"Hudsonville H.S. Hudsonville, MI",,,,,,7.402105159,,,,,,,,,,,,,,,,
TRUE,West H.S. UT,17.72147403,,,,,,,,,,,,,,,,,,,,,
FALSE,Belvidere North H.S. IL,,,,,7.76410299,,,,,,,,,,,,,,,,,17.69544466
FALSE,"The Bronx H.S. of Science New York, NY",,,,,,7.698412993,,,,,,,,,,,,,,17.66124016,,
FALSE,West Michigan Aviation Academy MI,,,,,,,,,,,,,,,,,,,,,,
TRUE,"Lincoln Science Focus Program H.S. Lincoln, NE",17.64862111,,,,,4.484249364,,,,,,,,,,,,,,,,
